Symbol,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
BTCUSDT,9071.48,9268.0,8970.2,9247.84,26123.543961,238421833.7581133,188258,13960.455528,127439644.78329857,0
BTCUSDT,9247.81,9844.0,9168.4,9750.0,38768.388288,366028365.2271445,282581,21093.140343,199234352.40239447,0
BTCUSDT,9750.0,9830.04,9520.85,9713.99,28681.588879,277565997.63316435,210165,14779.499554,143070410.02237806,0
BTCUSDT,9714.0,10020.0,9682.0,9864.0,24990.018345,246807563.50646487,212076,13011.844293,128527642.99648473,0
BTCUSDT,9863.99,9970.0,9417.03,9659.01,27690.351559,267359420.30359015,229309,13297.506959,128427770.52523224,0
BTCUSDT,9661.02,9689.67,9181.0,9365.0,33787.640012,316015961.44182944,230754,15818.0488,147985335.4458844,0
BTCUSDT,9365.0,9475.7,9060.54,9187.56,25533.831889,236418155.68693513,189159,13086.547467,121220083.42296956,0
BTCUSDT,9178.0,9390.0,8965.0,9310.0,25673.524899,235736782.28825977,192337,13597.268159,124869560.73820227,0
BTCUSDT,9310.0,9395.12,8970.0,9002.2,25055.063718,231595002.59561664,221075,12548.13816,116002381.57104652,0
BTCUSDT,9002.21,9016.8,8341.0,8400.0,48227.048061,418859806.4816156,365538,22767.458667,197915875.7459889,0
BTCUSDT,8405.94,8646.88,8153.0,8465.94,40241.32081,337899865.8601308,310305,19545.974195,164142437.41951767,0
BTCUSDT,8475.44,8763.36,8298.0,8679.71,25632.869362,219455683.08035553,215590,12797.047912,109577063.5715992,0
BTCUSDT,8679.71,8879.99,8277.0,8663.34,37389.666533,320583612.23009104,292731,18408.055641,157869523.76782727,0
BTCUSDT,8663.37,8859.99,8401.3,8462.0,28126.956136,242341031.0616692,360379,13977.497647,120464422.6243128,0
BTCUSDT,8462.0,8488.0,8083.01,8330.0,31130.718908,257056552.43007565,300842,15627.101368,129113378.7751384,0
BTCUSDT,8330.0,8464.0,7979.0,8041.46,25439.844799,209489039.34104192,310780,12489.264499,103022237.77329308,0
BTCUSDT,8038.82,8273.21,7911.9,8239.81,23476.158251,189870380.85778692,183913,12352.9627,99971085.72894707,0
BTCUSDT,8238.01,8390.8,8095.73,8233.49,17193.424276,141878775.40909585,134185,8731.948551,72082928.16544355,0
BTCUSDT,8233.49,8609.0,8163.9,8526.98,19957.057109,167440553.7493928,161265,10632.450955,89177519.97189689,0
BTCUSDT,8526.97,8595.31,8305.0,8381.24,21516.596486,181750674.82134953,184158,10738.686399,90716245.79029092,0
BTCUSDT,8386.89,8400.18,7935.11,7977.11,23710.902858,194335432.4375409,192154,11801.527076,96803604.56147256,0
BTCUSDT,7977.12,8031.9,7425.0,7501.95,42910.666774,331238049.64074606,306812,20890.889274,161412820.79758897,0
BTCUSDT,7501.95,7730.73,7266.99,7575.01,37845.446595,284286378.50810045,253694,19012.981252,142901418.78045785,0
BTCUSDT,7578.99,7649.55,7308.15,7457.0,26739.95664,199749585.9695036,239025,13830.870235,103360633.04654914,0
BTCUSDT,7456.99,7620.0,7300.0,7333.96,19464.086071,145636226.4590289,212344,10377.955643,77725757.25385071,0
BTCUSDT,7334.0,7400.0,7231.11,7338.99,18706.945515,136710618.49801704,198341,10258.276953,74990830.63101184,0
BTCUSDT,7338.99,7437.0,7058.02,7099.0,27219.438963,196788994.26580808,233392,14409.48781,104233730.17813648,0
BTCUSDT,7099.0,7540.0,7032.95,7461.29,39407.21183,288070643.9128678,237359,21855.93031,159656478.14262193,0
BTCUSDT,7467.98,7569.0,7260.5,7375.96,32041.583623,237956894.04949045,242079,17205.948916,127816792.77222247,0
BTCUSDT,7382.07,7699.0,7327.51,7485.01,30776.063102,231017579.83413267,274399,17009.013231,127645145.71489055,0
BTCUSDT,7485.01,7608.55,7355.54,7521.01,28259.124078,211458512.1230823,303069,15701.205431,117516855.67846663,0
BTCUSDT,7521.01,7697.33,7437.0,7640.03,26720.690219,203370447.69065264,290131,15540.051124,118295998.95554544,0
BTCUSDT,7636.81,7786.69,7600.0,7714.26,27505.158951,211737376.85348508,349636,15760.910668,121340420.79636246,0
BTCUSDT,7714.26,7760.52,7446.5,7487.0,32258.835115,244167051.18701583,307003,17730.335818,134226423.79685757,0
BTCUSDT,7487.0,7679.49,7358.0,7625.0,31722.973384,237722147.65258065,236865,17315.688399,129807510.9227184,0
BTCUSDT,7626.64,7699.0,7467.05,7658.84,27229.991898,207006657.7801965,257573,15071.587869,114621117.15696232,0
BTCUSDT,7658.79,7765.0,7620.0,7691.08,25062.227202,192949056.8419996,244186,14415.555201,110989280.27224816,0
BTCUSDT,7691.08,7703.5,7531.0,7603.44,23396.804671,178204158.39968467,321734,13038.958337,99303699.20240831,0
BTCUSDT,7603.44,7683.98,7450.0,7491.73,19339.885176,147171153.412775,278971,10653.462123,81075317.67777646,0
BTCUSDT,7491.73,7491.73,6622.81,6764.99,52342.020032,367338754.56308055,471088,25976.246666,182618941.75990877,0
BTCUSDT,6765.0,6922.0,6610.0,6872.0,34552.162303,233056682.85777128,203442,18716.667057,126255580.927273,0
BTCUSDT,6872.0,6890.51,6435.0,6530.0,36722.211191,245787800.8012235,224658,19299.735508,129341137.97553147,0
BTCUSDT,6530.0,6627.6,6118.68,6292.78,46185.5181,295395681.6623412,266517,25367.243359,162375277.4384803,0
BTCUSDT,6292.78,6720.0,6260.0,6635.98,44478.130837,289074808.78413,256384,23838.218565,154927680.45566285,0
BTCUSDT,6638.67,6666.66,6362.31,6388.9,30018.329905,196192096.14553955,184938,16192.452447,105856682.82114992,0
BTCUSDT,6380.01,6560.0,6320.86,6483.98,22277.241147,143760033.69408152,140470,12750.635784,82290350.53863607,0
BTCUSDT,6482.5,6589.03,6422.0,6449.61,19847.247688,129120718.76299886,129759,11208.656933,72949865.16298054,0
BTCUSDT,6444.06,6794.38,6380.0,6712.46,31821.434995,208570443.95997888,180773,17674.592693,115843959.76406445,0
BTCUSDT,6711.39,6841.74,6653.0,6741.21,24311.421143,163420093.794135,160490,12849.740659,86385611.9854134,0
BTCUSDT,6740.0,6817.23,6551.81,6761.51,26359.752452,175935335.65057912,166074,13647.933531,91142872.89139906,0
BTCUSDT,6763.21,6795.0,6672.57,6718.84,25428.854048,171149859.23602843,159783,15152.496274,101995867.72331424,0
BTCUSDT,6717.69,6733.97,5918.94,6045.0,52157.370833,327460666.9145165,300515,25336.720438,158994318.27114403,0
BTCUSDT,6045.92,6260.0,6008.48,6149.98,26622.788589,162755765.84514263,170164,15110.741399,92413061.16412096,0
BTCUSDT,6149.98,6259.8,5750.0,6136.97,47445.998955,284095336.0578902,275996,25966.417247,155558130.88157263,0
BTCUSDT,6137.95,6350.0,6061.97,6252.0,39164.515306,242859915.8036461,218384,21986.057384,136305269.99012783,0
BTCUSDT,6252.0,6272.54,6035.0,6070.78,19377.240484,119676555.56449406,113431,9824.659592,60710073.42453224,0
BTCUSDT,6065.89,6190.43,5971.0,6133.73,19225.671098,117103011.80356833,99481,10381.014136,63236432.02491027,0
BTCUSDT,6134.73,6173.01,5827.0,5853.98,30585.266026,185247010.87925187,156241,16422.378159,99598694.73730522,0
BTCUSDT,5851.01,6300.0,5780.0,6197.92,33911.287278,201409363.91549844,212542,18727.192128,111291346.32526273,0
BTCUSDT,6197.92,6528.99,6186.03,6390.07,37919.61284,241568568.0310778,230915,20036.025726,127666717.38353091,0
BTCUSDT,6391.08,6441.06,6251.0,6356.81,27562.965974,175096501.49486908,183060,15580.033848,98972791.71265253,0
BTCUSDT,6360.82,6685.0,6271.62,6615.29,36230.452264,235524330.64865333,242589,18966.910907,123205676.19274496,0
BTCUSDT,6615.29,6679.35,6463.01,6513.86,38657.781691,254550438.13768885,232914,20503.625399,135047837.8167885,0
BTCUSDT,6511.01,6784.92,6441.11,6586.98,23571.892777,156277884.33011597,146203,12244.070908,81263604.85511883,0
BTCUSDT,6585.53,6712.0,6453.33,6529.2,35071.972898,230809190.30740517,216533,19214.780702,126481460.0087366,0
BTCUSDT,6529.2,6648.54,6425.0,6609.78,29397.094748,192230903.67599213,193854,16292.945157,106560209.09449027,0
BTCUSDT,6609.79,6818.16,6508.88,6756.98,23973.876886,158034155.17779145,145449,12894.823579,85004234.47737303,0
BTCUSDT,6753.48,6780.0,6667.44,6712.1,24622.947794,165941351.79836008,145349,13146.632642,88613261.77225646,0
BTCUSDT,6712.1,6802.06,6612.24,6662.12,26732.40655,179250573.66648534,147315,14384.135477,96490394.6402318,0
BTCUSDT,6662.78,6681.0,6263.0,6296.91,38560.672702,249099760.1897497,189913,19261.135859,124490444.6988554,0
BTCUSDT,6296.91,6406.0,6278.99,6378.07,28715.498487,182357469.02807087,151869,15667.909412,99524638.10405175,0
BTCUSDT,6378.07,6380.28,6070.0,6250.57,31306.663348,194325733.7875043,150985,16067.766611,99754110.04002684,0
BTCUSDT,6251.4,6350.0,6110.0,6214.57,26375.325286,164467999.80925834,144757,13191.157016,82276362.81213073,0
BTCUSDT,6214.57,6335.0,6178.0,6251.99,17783.071999,110959488.24719918,108052,9833.313029,61362055.0050005,0
BTCUSDT,6250.9,6395.0,6225.4,6353.01,22979.211508,145409822.7448766,114997,13590.240175,85970280.535022,0
