Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
BTCUSDT,2018-05-02,9071.48,9268.0,8970.2,9247.84,26123.543961,2018-05-02 23:59:59.999,238421833.7581133,188258,13960.455528,127439644.78329857
BTCUSDT,2018-05-03,9247.81,9844.0,9168.4,9750.0,38768.388288,2018-05-03 23:59:59.999,366028365.2271445,282581,21093.140343,199234352.40239447
BTCUSDT,2018-05-04,9750.0,9830.04,9520.85,9713.99,28681.588879,2018-05-04 23:59:59.999,277565997.63316435,210165,14779.499554,143070410.02237806
BTCUSDT,2018-05-05,9714.0,10020.0,9682.0,9864.0,24990.018345,2018-05-05 23:59:59.999,246807563.50646487,212076,13011.844293,128527642.99648473
BTCUSDT,2018-05-06,9863.99,9970.0,9417.03,9659.01,27690.351559,2018-05-06 23:59:59.999,267359420.30359015,229309,13297.506959,128427770.52523224
BTCUSDT,2018-05-07,9661.02,9689.67,9181.0,9365.0,33787.640012,2018-05-07 23:59:59.999,316015961.44182944,230754,15818.0488,147985335.4458844
BTCUSDT,2018-05-08,9365.0,9475.7,9060.54,9187.56,25533.831889,2018-05-08 23:59:59.999,236418155.68693513,189159,13086.547467,121220083.42296956
BTCUSDT,2018-05-09,9178.0,9390.0,8965.0,9310.0,25673.524899,2018-05-09 23:59:59.999,235736782.28825977,192337,13597.268159,124869560.73820227
BTCUSDT,2018-05-10,9310.0,9395.12,8970.0,9002.2,25055.063718,2018-05-10 23:59:59.999,231595002.59561664,221075,12548.13816,116002381.57104652
BTCUSDT,2018-05-11,9002.21,9016.8,8341.0,8400.0,48227.048061,2018-05-11 23:59:59.999,418859806.4816156,365538,22767.458667,197915875.7459889
BTCUSDT,2018-05-12,8405.94,8646.88,8153.0,8465.94,40241.32081,2018-05-12 23:59:59.999,337899865.8601308,310305,19545.974195,164142437.41951767
BTCUSDT,2018-05-13,8475.44,8763.36,8298.0,8679.71,25632.869362,2018-05-13 23:59:59.999,219455683.08035553,215590,12797.047912,109577063.5715992
BTCUSDT,2018-05-14,8679.71,8879.99,8277.0,8663.34,37389.666533,2018-05-14 23:59:59.999,320583612.23009104,292731,18408.055641,157869523.76782727
BTCUSDT,2018-05-15,8663.37,8859.99,8401.3,8462.0,28126.956136,2018-05-15 23:59:59.999,242341031.0616692,360379,13977.497647,120464422.6243128
BTCUSDT,2018-05-16,8462.0,8488.0,8083.01,8330.0,31130.718908,2018-05-16 23:59:59.999,257056552.43007565,300842,15627.101368,129113378.7751384
BTCUSDT,2018-05-17,8330.0,8464.0,7979.0,8041.46,25439.844799,2018-05-17 23:59:59.999,209489039.34104192,310780,12489.264499,103022237.77329308
