Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
BTCUSDT,2018-05-21,8526.97000000,8595.31000000,8305.00000000,8381.24000000,21516.59648600,2018-05-21 23:59:59.999,181750674.82134952,184158,10738.68639900,90716245.79029092,0
BTCUSDT,2018-05-22,8386.89000000,8400.18000000,7935.11000000,7977.11000000,23710.90285800,2018-05-22 23:59:59.999,194335432.43754092,192154,11801.52707600,96803604.56147255,0
BTCUSDT,2018-05-23,7977.12000000,8031.90000000,7425.00000000,7501.95000000,42910.66677400,2018-05-23 23:59:59.999,331238049.64074610,306812,20890.88927400,161412820.79758897,0
BTCUSDT,2018-05-24,7501.95000000,7730.73000000,7266.99000000,7575.01000000,37845.44659500,2018-05-24 23:59:59.999,284286378.50810044,253694,19012.98125200,142901418.78045784,0
BTCUSDT,2018-05-25,7578.99000000,7649.55000000,7308.15000000,7457.00000000,26739.95664000,2018-05-25 23:59:59.999,199749585.96950361,239025,13830.87023500,103360633.04654914,0
BTCUSDT,2018-05-26,7456.99000000,7620.00000000,7300.00000000,7333.96000000,19464.08607100,2018-05-26 23:59:59.999,145636226.45902890,212344,10377.95564300,77725757.25385072,0
BTCUSDT,2018-05-27,7334.00000000,7400.00000000,7231.11000000,7338.99000000,18706.94551500,2018-05-27 23:59:59.999,136710618.49801705,198341,10258.27695300,74990830.63101185,0
BTCUSDT,2018-05-28,7338.99000000,7437.00000000,7058.02000000,7099.00000000,27219.43896300,2018-05-28 23:59:59.999,196788994.26580812,233392,14409.48781000,104233730.17813647,0
BTCUSDT,2018-05-29,7099.00000000,7540.00000000,7032.95000000,7461.29000000,39407.21183000,2018-05-29 23:59:59.999,288070643.91286776,237359,21855.93031000,159656478.14262191,0
BTCUSDT,2018-05-30,7467.98000000,7569.00000000,7260.50000000,7375.96000000,32041.58362300,2018-05-30 23:59:59.999,237956894.04949043,242079,17205.94891600,127816792.77222247,0
BTCUSDT,2018-05-31,7382.07000000,7699.00000000,7327.51000000,7485.01000000,30776.06310200,2018-05-31 23:59:59.999,231017579.83413269,274399,17009.01323100,127645145.71489055,0
BTCUSDT,2018-06-01,7485.01000000,7608.55000000,7355.54000000,7521.01000000,28259.12407800,2018-06-01 23:59:59.999,211458512.12308230,303069,15701.20543100,117516855.67846663,0
BTCUSDT,2018-06-02,7521.01000000,7697.33000000,7437.00000000,7640.03000000,26720.69021900,2018-06-02 23:59:59.999,203370447.69065262,290131,15540.05112400,118295998.95554544,0
BTCUSDT,2018-06-03,7636.81000000,7786.69000000,7600.00000000,7714.26000000,27505.15895100,2018-06-03 23:59:59.999,211737376.85348509,349636,15760.91066800,121340420.79636246,0
BTCUSDT,2018-06-04,7714.26000000,7760.52000000,7446.50000000,7487.00000000,32258.83511500,2018-06-04 23:59:59.999,244167051.18701582,307003,17730.33581800,134226423.79685757,0
BTCUSDT,2018-06-05,7487.00000000,7679.49000000,7358.00000000,7625.00000000,31722.97338400,2018-06-05 23:59:59.999,237722147.65258064,236865,17315.68839900,129807510.92271840,0
BTCUSDT,2018-06-06,7626.64000000,7699.00000000,7467.05000000,7658.84000000,27229.99189800,2018-06-06 23:59:59.999,207006657.78019649,257573,15071.58786900,114621117.15696232,0
BTCUSDT,2018-06-07,7658.79000000,7765.00000000,7620.00000000,7691.08000000,25062.22720200,2018-06-07 23:59:59.999,192949056.84199957,244186,14415.55520100,110989280.27224815,0
BTCUSDT,2018-06-08,7691.08000000,7703.50000000,7531.00000000,7603.44000000,23396.80467100,2018-06-08 23:59:59.999,178204158.39968466,321734,13038.95833700,99303699.20240831,0
BTCUSDT,2018-06-09,7603.44000000,7683.98000000,7450.00000000,7491.73000000,19339.88517600,2018-06-09 23:59:59.999,147171153.41277501,278971,10653.46212300,81075317.67777646,0
BTCUSDT,2018-06-10,7491.73000000,7491.73000000,6622.81000000,6764.99000000,52342.02003200,2018-06-10 23:59:59.999,367338754.56308057,471088,25976.24666600,182618941.75990874,0
BTCUSDT,2018-06-11,6765.00000000,6922.00000000,6610.00000000,6872.00000000,34552.16230300,2018-06-11 23:59:59.999,233056682.85777126,203442,18716.66705700,126255580.92727299,0
BTCUSDT,2018-06-12,6872.00000000,6890.51000000,6435.00000000,6530.00000000,36722.21119100,2018-06-12 23:59:59.999,245787800.80122349,224658,19299.73550800,129341137.97553147,0
BTCUSDT,2018-06-13,6530.00000000,6627.60000000,6118.68000000,6292.78000000,46185.51810000,2018-06-13 23:59:59.999,295395681.66234120,266517,25367.24335900,162375277.43848027,0
BTCUSDT,2018-06-14,6292.78000000,6720.00000000,6260.00000000,6635.98000000,44478.13083700,2018-06-14 23:59:59.999,289074808.78412993,256384,23838.21856500,154927680.45566283,0
BTCUSDT,2018-06-15,6638.67000000,6666.66000000,6362.31000000,6388.90000000,30018.32990500,2018-06-15 23:59:59.999,196192096.14553953,184938,16192.45244700,105856682.82114991,0
